word,SUBTLwf,nLet,nSyll,nPhon,coltNOrth,coltNPhon,old20,pld20,posBigram,isHomograph,isHomophone,WNsensecount
lawyers,19.1176470588235,7,2,5,0,0,2.45,1.95,270,1,0,1
lax,1.70588235294118,3,1,4,19,21,1.4,1,20,0,1,4
lay,58.2352941176471,3,1,2,27,42,1,1,29,0,0,16
layer,3.70588235294118,5,2,3,2,12,1.7,1.65,153,0,0,6
layers,2.33333333333333,6,2,4,2,2,1.8,1.75,180,0,0,6
laying,11.1372549019608,6,2,4,2,4,1.7,1.7,313,0,0,6
layout,3.49019607843137,6,2,4,0,1,2.85,2.8,65,0,0,2
lays,2.94117647058824,4,1,3,12,24,1.25,1,50,0,0,7
lazy,11.5882352941176,4,2,4,1,6,1.75,1.65,36,0,0,2
lead,83.2549019607843,4,1,3,13,26,1.2,1,83,1,1,31
leader,31.156862745098,6,2,4,1,7,1.6,1,477,0,0,2
leaders,8.88235294117647,7,2,5,1,2,1.85,1.55,378,0,0,3
leadership,4.88235294117647,10,3,7,0,0,3.6,3.45,116,0,0,4
leading,20.8627450980392,7,2,5,8,7,1.5,1,882,0,0,20
leads,19.7843137254902,5,1,4,8,13,1.45,1.15,142,0,1,31
leaf,5.19607843137255,4,1,3,7,17,1.65,1.05,72,0,0,6
league,18.6274509803922,6,1,3,0,14,2.35,1.2,118,0,0,4
leagues,2.09803921568627,7,1,4,0,6,2.5,1.6,326,0,0,4
leak,10.1372549019608,4,1,3,8,31,1.45,1,75,0,0,9
leaked,1.54901960784314,6,1,4,3,10,1.7,1.2,484,0,0,4
leaks,2.19607843137255,5,1,4,5,17,1.7,1.2,161,0,0,9
leaky,1.09803921568627,5,2,4,2,5,1.8,1.6,124,0,0,3
lean,10.3725490196078,4,1,3,11,35,1.25,1,94,0,0,10
leaned,1.70588235294118,6,1,4,3,8,1.5,1.45,459,0,0,5
leaning,4.25490196078431,7,2,5,5,7,1.6,1.6,901,0,0,10
leans,1.07843137254902,5,1,4,7,18,1.4,1.2,165,0,0,6
leap,6.66666666666667,4,1,3,7,24,1.55,1,83,0,0,8
leaping,1.56862745098039,7,2,5,4,8,1.75,1.45,866,0,0,5
leaps,1.33333333333333,5,1,4,3,7,1.65,1.35,138,0,0,8
learn,118.56862745098,5,1,3,1,17,1.8,1.5,143,0,0,6
learned,58.1176470588235,7,1,4,1,10,1.85,1.7,511,1,0,9
learning,20.3137254901961,8,2,5,1,7,1.85,1.75,836,0,0,8
learns,2.90196078431373,6,1,4,1,12,1.85,1.65,180,0,0,6
lease,6.27450980392157,5,1,3,5,26,1.55,1,163,0,0,7
leased,1.13725490196078,6,1,4,3,10,1.45,1.25,431,0,1,5
leash,4.29411764705882,5,1,3,2,12,1.8,1.25,138,0,0,4
least,207.764705882353,5,1,4,4,10,1.55,1.25,145,0,1,3
leather,13.5882352941176,7,2,4,3,10,1.7,1.35,434,0,0,2
leave,560.705882352941,5,1,3,3,14,1.7,1,126,0,0,17
leaves,45.4117647058824,6,1,4,0,9,1.7,1.45,334,0,0,20
leaving,141.392156862745,7,2,5,4,7,1.65,1.5,850,0,0,15
lecture,10.4705882352941,7,2,5,0,0,2.15,1.95,170,0,0,5
lectures,2.50980392156863,8,2,6,0,0,2.4,2.25,291,0,0,5
lecturing,1.41176470588235,9,3,7,0,0,2.75,2.95,559,0,0,3
led,24.0196078431373,3,1,3,17,26,1.1,1,17,0,1,15
ledge,3.50980392156863,5,1,3,3,11,1.6,1.5,87,0,0,1
ledger,1.2156862745098,6,2,4,0,6,1.8,1.85,417,0,0,2
leech,1.74509803921569,5,1,3,0,15,1.9,1.55,118,0,0,3
leery,3.17647058823529,5,2,4,1,9,1.95,1.4,106,0,1,1
left,484.450980392157,4,1,4,4,6,1.65,1.35,31,0,0,24
leftovers,2.49019607843137,9,3,8,0,0,3.65,4.5,144,0,0,2
leg,56.5098039215686,3,1,3,15,16,1.35,1.2,14,0,0,9
legacy,5.01960784313725,6,3,6,0,0,2.6,2.45,66,0,0,1
legal,35.7058823529412,5,2,5,1,4,1.95,1.85,75,0,0,5
legally,7.6078431372549,7,3,6,0,0,2.75,2.35,130,0,0,2
legend,17.156862745098,6,2,6,0,0,2.55,2.45,118,0,0,2
legendary,4.01960784313725,9,4,9,0,0,3.7,4.4,164,0,0,2
legends,3.56862745098039,7,2,7,0,0,2.65,2.65,124,0,0,2
legion,2.47058823529412,6,2,5,1,1,2.15,2.1,143,0,0,5
legislation,1.01960784313725,11,4,10,0,0,3.45,4.55,366,0,0,2
legit,2.66666666666667,5,2,5,0,0,2,2.75,53,1,0,0
legitimate,7.52941176470588,10,4,9,0,0,3.3,4.25,117,0,0,7
legs,55.5882352941176,4,1,4,5,4,1.55,1.4,42,0,0,10
leisure,2.52941176470588,7,2,4,0,7,2.6,1.95,146,1,0,2
lemon,12.0196078431373,5,2,5,1,2,1.85,1.7,74,0,0,5
lemonade,5.50980392156863,8,3,7,0,0,3.55,3.55,108,0,0,1
lemons,1.64705882352941,6,2,6,1,1,2.15,1.95,124,0,0,5
lend,11.6666666666667,4,1,4,9,12,1.2,1.05,64,0,0,3
lending,1.88235294117647,7,2,6,7,6,1.5,1.4,878,0,0,4
length,7.01960784313725,6,1,5,0,0,2.6,1.9,109,1,0,5
lengths,2.25490196078431,7,1,6,0,0,2.7,2.35,102,1,0,5
lens,4.66666666666667,4,1,4,8,12,1.4,1.3,65,0,0,5
lenses,2.27450980392157,6,2,6,1,0,1.85,2.55,315,1,0,6
lent,3.72549019607843,4,1,4,15,18,1.15,1,67,0,0,4
